disease_canonical,fever_prevalence,cough_prevalence,fatigue_prevalence,difficulty_breathing_prevalence,avg_age,most_common_gender,outcome_positive_rate,patient_count,symptoms,symptom_list,cures,doctor,risk_category,risk_pct,source,symptom_source,has_patient_stats,has_clinical_detail,fever_prevalence_imputed,cough_prevalence_imputed,fatigue_prevalence_imputed,difficulty_breathing_prevalence_imputed,avg_age_imputed,outcome_positive_rate_imputed,symptom_set
anxiety disorders,0.5,0.5,0.5,0.16666666666666666,43.166666666666664,male,0.5,6.0,"excessive worry,fear,anxiety that interfere with daily life","['excessive worry', 'fear', 'anxiety that interfere with daily life']","treatment for anxiety disorders may include therapy,medication,combination of both","psychologist,psychiatrist",varies,,both,df2_text,True,True,False,False,False,False,False,False,"['fear', 'fatigue', 'excessive worry', 'cough', 'fever', 'anxiety that interfere with daily life']"
aortic aneurysm,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"bulge in the wall of the aorta,the largest artery in the body","['bulge in the wall of the aorta', 'the largest artery in the body']",surgery,vascular surgeon,high,20.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'the largest artery in the body', 'bulge in the wall of the aorta']"
appendicitis,1.0,0.0,1.0,0.0,55.0,male,0.0,1.0,"pain in the lower right abdomen,nausea,vomiting,fever","['pain in the lower right abdomen', 'nausea', 'vomiting', 'fever']",appendectomy,surgeon,high,20.0,both,df2_text,True,True,False,False,False,False,False,False,"['vomiting', 'fatigue', 'nausea', 'fever', 'pain in the lower right abdomen']"
arthritis,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"pain,stiffness,swelling,inflammation in the joints","['pain', 'stiffness', 'swelling', 'inflammation in the joints']","medication,physical therapy,lifestyle changes",rheumatologist,varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['inflammation in the joints', 'pain', 'swelling', 'fatigue', 'stiffness']"
asperger syndrome,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"difficulty with social interaction,repetitive behaviors,restricted interests","['difficulty with social interaction', 'repetitive behaviors', 'restricted interests']","there is no cure for asperger syndrome,but there are treatments that can help manage the symptoms","psychologist,psychiatrist",varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'difficulty with social interaction', 'restricted interests', 'repetitive behaviors']"
asthma,0.75,0.6875,0.5625,0.9375,37.4375,female,0.75,16.0,"wheezing,shortness of breath,coughing,chest tightness","['wheezing', 'shortness of breath', 'coughing', 'chest tightness']","treatment for asthmmay include medication,lifestyle changes,allergy shots","allergist,pulmonologist",varies,,both,df2_text,True,True,False,False,False,False,False,False,"['coughing', 'shortness of breath', 'fatigue', 'cough', 'fever', 'wheezing', 'chest tightness', 'difficulty breathing']"
atherosclerosis,0.0,0.0,1.0,0.0,35.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
atopic dermatitis,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"itchy,red,inflamed skin","['itchy', 'red', 'inflamed skin']","medication,lifestyle changes",dermatologist,varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'inflamed skin', 'red', 'itchy']"
autism spectrum disorder,0.0,0.0,1.0,0.0,45.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
bacterial meningitis,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"fever,headache,stiff neck,nausea,vomiting,sensitivity to light","['fever', 'headache', 'stiff neck', 'nausea', 'vomiting', 'sensitivity to light']",antibiotics,"neurologist,neurosurgeon",high,20.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['stiff neck', 'vomiting', 'sensitivity to light', 'fatigue', 'nausea', 'fever', 'headache']"
bipolar disorder,0.0,0.0,1.0,0.0,30.0,female,1.0,1.0,"extreme mood swings,from manito depression","['extreme mood swings', 'from manito depression']","treatment for bipolar disorder may include medication,therapy,combination of both","psychologist,psychiatrist",varies,,both,df2_text,True,True,False,False,False,False,False,False,"['fatigue', 'from manito depression', 'extreme mood swings']"
bladder cancer,0.0,0.0,1.0,0.0,65.0,male,0.0,1.0,"blood in the urine,pain or burning when urinating,frequent urination,urgency to urinate,incontinence","['blood in the urine', 'pain or burning when urinating', 'frequent urination', 'urgency to urinate', 'incontinence']","surgery,chemotherapy,radiation therapy",urologist,high,70.0,both,df2_text,True,True,False,False,False,False,False,False,"['incontinence', 'fatigue', 'frequent urination', 'blood in the urine', 'pain or burning when urinating', 'urgency to urinate']"
blood clot,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"pain,swelling,redness,warmth,tenderness in the affected area,shortness of breath,chest pain,difficulty breathing,coughing up blood","['pain', 'swelling', 'redness', 'warmth', 'tenderness in the affected area', 'shortness of breath', 'chest pain', 'difficulty breathing', 'coughing up blood']","treatment for blood clot may include medication,surgery,combination of both","cardiologist,hematologist",high,20.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['pain', 'swelling', 'shortness of breath', 'coughing up blood', 'fatigue', 'redness', 'chest pain', 'tenderness in the affected area', 'difficulty breathing', 'warmth']"
brain tumor,0.0,0.0,1.0,0.0,40.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
breast cancer,0.0,0.0,1.0,0.0,60.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
bronchitis,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,46.42857142857143,male,0.5714285714285714,7.0,"cough,mucus production,shortness of breath,chest pain","['cough', 'mucus production', 'shortness of breath', 'chest pain']","antibiotics,over-the-counter medications,rest,fluids","family doctor,pulmonologist",low,0.5,both,df2_text,True,True,False,False,False,False,False,False,"['mucus production', 'shortness of breath', 'fatigue', 'cough', 'fever', 'chest pain', 'difficulty breathing']"
bursitis,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"pain,swelling,inflammation in bursa,which is small sac of fluid that cushions joints","['pain', 'swelling', 'inflammation in bursa', 'which is small sac of fluid that cushions joints']","medication,rest,ice,compression,elevation","family doctor,orthopedist",varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['pain', 'swelling', 'which is small sac of fluid that cushions joints', 'inflammation in bursa', 'fatigue']"
cancer,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"lump,unexplained weight loss,fatigue,changes in bowel,bladder habits,persistent cough,indigestion,unexplained bleeding or discharge","['lump', 'unexplained weight loss', 'fatigue', 'changes in bowel', 'bladder habits', 'persistent cough', 'indigestion', 'unexplained bleeding or discharge']","surgery,chemotherapy,radiation therapy",oncologist,varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['bladder habits', 'lump', 'unexplained bleeding or discharge', 'fatigue', 'unexplained weight loss', 'persistent cough', 'changes in bowel', 'indigestion']"
cataracts,0.0,0.0,1.0,0.0,45.0,female,1.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
celiac,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"diarrhea,bloating,weight loss,fatigue,abdominal pain","['diarrhea', 'bloating', 'weight loss', 'fatigue', 'abdominal pain']",gluten-free diet,gastroenterologist,varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['bloating', 'weight loss', 'fatigue', 'abdominal pain', 'diarrhea']"
cerebral palsy,0.0,0.0,1.0,1.0,30.0,female,1.0,1.0,"fatigue,difficulty breathing","['fatigue', 'difficulty breathing']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'difficulty breathing']"
cervical cancer,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"abnormal pap test results,abnormal vaginal bleeding,pain during sex","['abnormal pap test results', 'abnormal vaginal bleeding', 'pain during sex']","surgery,chemotherapy,radiation therapy",gynecologist,high,70.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['abnormal vaginal bleeding', 'abnormal pap test results', 'fatigue', 'pain during sex']"
chickenpox,0.0,1.0,0.0,0.0,40.0,male,1.0,1.0,"rash,fever,headache,muscle aches,fatigue","['rash', 'fever', 'headache', 'muscle aches', 'fatigue']","antiviral medication,over-the-counter medications,rest,fluids","family doctor,urgent care",low,0.1,both,df2_text,True,True,False,False,False,False,False,False,"['muscle aches', 'rash', 'fatigue', 'cough', 'fever', 'headache']"
cholecystitis,0.0,0.0,1.0,0.0,70.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
cholera,1.0,0.0,1.0,1.0,50.0,female,0.0,1.0,"fever,fatigue,difficulty breathing","['fever', 'fatigue', 'difficulty breathing']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'fever', 'difficulty breathing']"
cholesterol,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,high levels of cholesterol in the blood,['high levels of cholesterol in the blood'],"diet,exercise,medication",cardiologist,varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'high levels of cholesterol in the blood']"
chronic kidney,0.0,0.0,1.0,0.0,60.0,female,1.0,1.0,"fatigue,shortness of breath,swelling,high blood pressure,changes in urination","['fatigue', 'shortness of breath', 'swelling', 'high blood pressure', 'changes in urination']","treatment for the underlying cause,such as high blood pressure,diabetes,an infection",nephrologist,varies,,both,df2_text,True,True,False,False,False,False,False,False,"['shortness of breath', 'swelling', 'fatigue', 'high blood pressure', 'changes in urination']"
chronic obstructive pulmonary,0.6666666666666666,0.6666666666666666,1.0,1.0,56.666666666666664,male,0.3333333333333333,3.0,"chronic bronchitis,emphysema","['chronic bronchitis', 'emphysema']","treatment for copd may include medication,lifestyle changes,oxygen therapy",pulmonologist,varies,,both,df2_text,True,True,False,False,False,False,False,False,"['emphysema', 'fatigue', 'chronic bronchitis', 'cough', 'fever', 'difficulty breathing']"
cirrhosis,0.0,0.0,1.0,0.0,35.0,female,1.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
colorectal cancer,0.0,0.0,1.0,0.0,30.0,female,1.0,1.0,"change in bowel habits,such as diarrhea,constipation,narrowing of the stool,blood in the stool,abdominal pain,unexplained weight loss","['change in bowel habits', 'such as diarrhea', 'constipation', 'narrowing of the stool', 'blood in the stool', 'abdominal pain', 'unexplained weight loss']","surgery,chemotherapy,radiation therapy",gastroenterologist,high,70.0,both,df2_text,True,True,False,False,False,False,False,False,"['narrowing of the stool', 'change in bowel habits', 'fatigue', 'such as diarrhea', 'constipation', 'unexplained weight loss', 'blood in the stool', 'abdominal pain']"
common cold,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,36.166666666666664,female,0.16666666666666666,6.0,"runny nose,sneezing,sore throat,cough,congestion","['runny nose', 'sneezing', 'sore throat', 'cough', 'congestion']","over-the-counter medications,rest,fluids","family doctor,urgent care",low,0.1,both,df2_text,True,True,False,False,False,False,False,False,"['sneezing', 'sore throat', 'fatigue', 'cough', 'fever', 'runny nose', 'congestion']"
conjunctivitis,0.0,1.0,0.0,0.0,35.0,female,1.0,1.0,cough,['cough'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['cough']
conjunctivitis pink eye,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"red,itchy,watery eyes","['red', 'itchy', 'watery eyes']","over-the-counter medications,warm compresses","family doctor,ophthalmologist",low,0.1,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'red', 'watery eyes', 'itchy']"
coronary artery,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,51.666666666666664,female,0.6666666666666666,3.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
crohns,0.6,0.4,1.0,0.0,47.0,male,0.4,5.0,"diarrhea,bloody stool,abdominal pain,weight loss","['diarrhea', 'bloody stool', 'abdominal pain', 'weight loss']","medication,surgery",gastroenterologist,varies,,both,df2_text,True,True,False,False,False,False,False,False,"['weight loss', 'fatigue', 'abdominal pain', 'fever', 'bloody stool', 'diarrhea']"
cystic fibrosis,0.0,0.0,1.0,1.0,40.0,male,0.0,1.0,"fatigue,difficulty breathing","['fatigue', 'difficulty breathing']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'difficulty breathing']"
dementia,0.0,0.0,1.0,0.0,65.0,female,1.0,1.0,"memory loss,confusion,difficulty thinking,changes in personality or behavior","['memory loss', 'confusion', 'difficulty thinking', 'changes in personality or behavior']","there is no cure for dementia,but there are treatments that can help manage the symptoms",neurologist,varies,,both,df2_text,True,True,False,False,False,False,False,False,"['difficulty thinking', 'confusion', 'fatigue', 'changes in personality or behavior', 'memory loss']"
dengue fever,1.0,0.0,1.0,0.0,30.0,female,0.0,1.0,"fever,fatigue","['fever', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'fever']"
depression,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,39.833333333333336,female,0.5,6.0,"sadness,hopelessness,loss of interest in activities,changes in appetite,sleep,energy levels","['sadness', 'hopelessness', 'loss of interest in activities', 'changes in appetite', 'sleep', 'energy levels']","treatment for depression may include medication,therapy,combination of both","psychologist,psychiatrist",varies,,both,df2_text,True,True,False,False,False,False,False,False,"['sleep', 'changes in appetite', 'energy levels', 'fatigue', 'sadness', 'hopelessness', 'loss of interest in activities']"
diabetes,0.5,0.5,0.6,0.1,47.4,male,0.5,10.0,"increased thirst,frequent urination,unexplained weight loss,fatigue,blurred vision,cuts that are slow to heal","['increased thirst', 'frequent urination', 'unexplained weight loss', 'fatigue', 'blurred vision', 'cuts that are slow to heal']","diet,exercise,medication",endocrinologist,high,25.0,both,df2_text,True,True,False,False,False,False,False,False,"['blurred vision', 'fatigue', 'increased thirst', 'unexplained weight loss', 'cough', 'fever', 'frequent urination', 'cuts that are slow to heal']"
diarrhea,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"loose,watery stools","['loose', 'watery stools']","over-the-counter medications,rest,fluids","family doctor,urgent care",low,0.1,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'watery stools', 'loose']"
diverticulitis,0.0,0.0,1.0,0.0,65.0,female,1.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
down syndrome,0.0,0.0,1.0,0.0,50.0,female,1.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
eating disorders anorexia,0.0,0.0,1.0,0.0,40.0,female,1.0,1.0,disturbance in eating behavior that can lead to serious health problems,['disturbance in eating behavior that can lead to serious health problems'],"treatment for eating disorders may include therapy,medication,support groups","psychologist,psychiatrist",varies,,both,df2_text,True,True,False,False,False,False,False,False,"['fatigue', 'disturbance in eating behavior that can lead to serious health problems']"
ebola virus,1.0,1.0,1.0,1.0,50.0,male,1.0,1.0,"fever,cough,fatigue,difficulty breathing","['fever', 'cough', 'fatigue', 'difficulty breathing']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough', 'fever', 'difficulty breathing']"
eczema,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,32.5,female,0.5,6.0,cough,['cough'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['cough']
endometriosis,1.0,0.0,0.0,0.0,50.0,male,0.0,1.0,fever,['fever'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fever']
epilepsy,0.0,0.0,1.0,0.0,35.0,male,0.0,1.0,seizures,['seizures'],"medication,surgery",neurologist,varies,,both,df2_text,True,True,False,False,False,False,False,False,"['fatigue', 'seizures']"
erectile dysfunction,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"difficulty getting,keeping an erection","['difficulty getting', 'keeping an erection']","medication,lifestyle changes,surgery",urologist,varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['keeping an erection', 'fatigue', 'difficulty getting']"
esophageal cancer,0.0,0.0,1.0,0.0,55.0,male,0.0,1.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
fever,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,elevated body temperature,['elevated body temperature'],"over-the-counter medications,rest,fluids","family doctor,urgent care",low,0.1,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'elevated body temperature']"
fibromyalgia,0.0,0.0,1.0,0.0,40.0,female,1.0,1.0,"widespread pain,fatigue,tenderness","['widespread pain', 'fatigue', 'tenderness']","medication,lifestyle changes",rheumatologist,varies,,both,df2_text,True,True,False,False,False,False,False,False,"['fatigue', 'widespread pain', 'tenderness']"
flu,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"fever,cough,sore throat,runny or stuffy nose,muscle aches,headache,fatigue","['fever', 'cough', 'sore throat', 'runny or stuffy nose', 'muscle aches', 'headache', 'fatigue']","over-the-counter medications,rest,fluids","family doctor,urgent care",low,0.1,df2_only,df2_text,False,True,True,True,True,True,True,True,"['muscle aches', 'sore throat', 'fatigue', 'cough', 'fever', 'runny or stuffy nose', 'headache']"
food poisoning,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"nausea,vomiting,diarrhea,abdominal cramps","['nausea', 'vomiting', 'diarrhea', 'abdominal cramps']","over-the-counter medications,rest,fluids","family doctor,urgent care",low,0.1,df2_only,df2_text,False,True,True,True,True,True,True,True,"['vomiting', 'fatigue', 'abdominal cramps', 'nausea', 'diarrhea']"
gallstones,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"pain in the upper right abdomen,nausea,vomiting,fever","['pain in the upper right abdomen', 'nausea', 'vomiting', 'fever']",surgery,surgeon,high,20.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['pain in the upper right abdomen', 'vomiting', 'fatigue', 'nausea', 'fever']"
gastroenteritis,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,37.0,male,0.5,6.0,"fever,cough,fatigue","['fever', 'cough', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'cough', 'fever']"
glaucoma,0.0,0.0,1.0,0.0,40.0,male,0.0,1.0,"increased pressure in the eye that can damage the optic nerve,lead to vision loss","['increased pressure in the eye that can damage the optic nerve', 'lead to vision loss']","medication,surgery",ophthalmologist,varies,,both,df2_text,True,True,False,False,False,False,False,False,"['fatigue', 'increased pressure in the eye that can damage the optic nerve', 'lead to vision loss']"
gonorrhea,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"sexually transmitted infection that can cause burning during urination,discharge from the penis or vagina,pain in the lower abdomen","['sexually transmitted infection that can cause burning during urination', 'discharge from the penis or vagina', 'pain in the lower abdomen']",antibiotics,"urologist,gynecologist",high,70.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'sexually transmitted infection that can cause burning during urination', 'discharge from the penis or vagina', 'pain in the lower abdomen']"
gout,1.0,0.0,1.0,0.0,70.0,female,1.0,1.0,"fever,fatigue","['fever', 'fatigue']",unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,"['fatigue', 'fever']"
graves,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"hyperthyroidism,which is an overactive thyroid","['hyperthyroidism', 'which is an overactive thyroid']","medication,surgery",endocrinologist,varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['hyperthyroidism', 'fatigue', 'which is an overactive thyroid']"
hashimotos thyroiditis,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"hypothyroidism,which is an underactive thyroid","['hypothyroidism', 'which is an underactive thyroid']",medication,endocrinologist,varies,,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'hypothyroidism', 'which is an underactive thyroid']"
heart,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,"chest pain,shortness of breath,fatigue,dizziness,fainting","['chest pain', 'shortness of breath', 'fatigue', 'dizziness', 'fainting']","treatment for heart disease may include medication,lifestyle changes,surgery",cardiologist,high,20.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fainting', 'shortness of breath', 'fatigue', 'dizziness', 'chest pain']"
heart failure,0.3653916989443305,0.3462961380724538,0.7813572757651704,0.1488954393559657,47.684337263613585,unknown,0.519544125465178,0.0,condition in which the heart cannot pump blood as well as it should,['condition in which the heart cannot pump blood as well as it should'],"medication,lifestyle changes,surgery",cardiologist,high,20.0,df2_only,df2_text,False,True,True,True,True,True,True,True,"['fatigue', 'condition in which the heart cannot pump blood as well as it should']"
hemophilia,0.0,0.0,1.0,0.0,50.0,female,1.0,2.0,fatigue,['fatigue'],unknown,unknown,unknown,,df1_only,df1_flags_derived,True,False,False,False,False,False,False,False,['fatigue']
hepatitis,1.0,0.5,1.0,0.5,37.5,female,0.0,2.0,inflammation of the liver,['inflammation of the liver'],"treatment for hepatitis may include medication,rest,lifestyle changes",gastroenterologist,varies,,both,df2_text,True,True,False,False,False,False,False,False,"['fatigue', 'cough', 'fever', 'difficulty breathing', 'inflammation of the liver']"
